Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-20.134731,-9.450069,-38.712708,7.881037,7.587259411811829,10.057540143663406
Low-Mid,-11.726594,-0.35995102,-34.99535,23.158926,7.314678430557251,13.23445831636813
Low-High,-15.770758,-3.8146973e-06,-44.230034,18.09658,9.817066192626953,14.896803396128016
Mid-Low,-23.540102,-0.7530136,-65.723335,11.698017,12.853738069534302,18.725607924775513
Mid-Mid,-38.04874,-9.876835,-76.551414,2.380505,17.5587797164917,23.615294242779164
Mid-High,-44.44981,-10.385643,-80.0,1.2934188,22.348570823669434,23.378215803140783
High-Low,-50.824417,-19.71167,-80.0,0.48932913,21.465306282043457,24.1809614146732
High-Mid,-57.013157,-29.314148,-80.0,0.1957517,19.820741415023804,26.808364513667566
High-High,-65.58465,-30.107555,-80.0,0.094040096,25.39518117904663,30.57429886559992
Overall Song,-68.4916,-3.8146973e-06,-80.0,1.5158252,31.3560152053833,13.937482833862305
