Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-24.967607,-13.0823555,-44.632946,6.8793497,8.475524187088013,12.043283556181262
Low-Mid,-16.534815,-3.3173027,-47.98359,21.325056,8.413718342781067,15.263400048428533
Low-High,-21.96356,-3.3128586,-60.795147,16.141953,10.836846828460693,17.850363977453505
Mid-Low,-38.053513,-7.1468544,-76.77881,4.6630754,17.78852105140686,17.51472595272044
Mid-Mid,-49.972202,-25.702257,-80.0,0.66635203,16.132495403289795,22.374596381766857
Mid-High,-62.71255,-25.313648,-80.0,0.37437135,21.529123783111572,18.972684512254094
High-Low,-59.98024,0.0,-80.0,4.7680287,24.742050170898438,18.923610594481893
High-Mid,-66.25537,-23.732357,-80.0,0.18837352,29.07607078552246,27.207192391415433
High-High,-75.75345,-21.169456,-80.0,0.18451282,31.818838119506836,28.684420258447258
Overall Song,-74.091995,0.0,-80.0,1.6519706,33.94878149032593,16.37486696243286
