Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-21.820158,-4.6066914,-38.27289,6.073511,12.52774953842163,12.147025213265133
Low-Mid,-18.35571,-5.7864113,-37.92982,9.138092,7.7997153997421265,14.485224381924251
Low-High,-21.568153,-2.2828922,-43.094402,8.310271,12.128040790557861,17.875442422041232
Mid-Low,-26.704384,0.0,-62.783382,5.930425,17.341519594192505,16.767884852167594
Mid-Mid,-32.786,-10.874451,-69.93779,2.2154634,15.01949667930603,16.08572337538169
Mid-High,-36.62236,-11.02104,-78.51543,1.6729712,17.312427759170532,22.539141386202704
High-Low,-58.25864,-30.542324,-80.0,0.15223488,18.61063003540039,25.873677729669403
High-Mid,-68.2629,-28.289612,-80.0,0.08280175,26.15283489227295,29.421426804291784
High-High,-73.62321,-26.606504,-80.0,0.105193615,25.756945610046387,29.00511421899475
Overall Song,-72.93351,0.0,-80.0,0.79440975,34.80234384536743,13.638813495635986
