Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-25.39669,-11.050068,-39.840214,6.344495,8.803017735481262,16.878748558519693
Low-Mid,-27.051998,-16.164017,-41.278545,4.575453,6.5283286571502686,16.12603968783739
Low-High,-26.634388,-8.809771,-38.789463,5.7790647,11.85410737991333,11.095505563299309
Mid-Low,-21.81542,-0.7094917,-47.685665,12.271326,13.41370701789856,14.942059603961269
Mid-Mid,-28.54084,0.0,-50.24707,8.568823,17.24260449409485,12.276163282054767
Mid-High,-28.141125,-0.7199745,-70.73685,11.117505,14.26090955734253,17.07815956510592
High-Low,-35.78077,-10.127865,-77.1075,2.8543062,16.663150787353516,18.58947252078242
High-Mid,-37.358574,-14.516098,-74.399635,1.9731619,15.481675863265991,20.212823695701697
High-High,-46.53144,-17.347635,-80.0,1.2372578,16.704187393188477,20.584688037944332
Overall Song,-55.808018,0.0,-80.0,2.4975371,27.95078754425049,12.175145149230957
