Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-18.274534,-7.8625584,-50.535248,0.004845694,7.341876029968262,9.532648073606625
Low-Mid,-4.9499707,-3.1252613,-7.9600773,0.015943903,1.734398603439331,6.0363533143096335
Low-High,-6.0814176,0.0,-14.4884815,0.017466508,4.06743198633194,13.709631731284128
Mid-Low,-21.159863,-11.083834,-47.229454,0.0032505207,7.588662505149841,14.063472805773449
Mid-Mid,-26.162952,-13.858496,-68.91155,0.0018488987,9.71479594707489,13.156935384243745
Mid-High,-29.360655,-16.839449,-66.940544,0.0012646203,10.032901763916016,12.899363389149407
High-Low,-30.101595,-17.625818,-66.660034,0.0011656445,9.954412579536438,13.030836280899678
High-Mid,-30.180637,-17.277224,-68.91155,0.0011563757,10.372353792190552,13.41211635073261
High-High,-30.395445,-17.324701,-68.91155,0.0011226416,10.582031011581421,13.391958813326273
Overall Song,-30.069725,0.0,-68.91155,0.0015184503,25.283541679382324,13.027375936508179
