Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-25.668627,-6.313198,-43.68252,7.6435466,10.592296123504639,13.354861619756583
Low-Mid,-24.46959,-7.5732136,-41.77062,7.449958,9.555103182792664,14.123958746662744
Low-High,-26.441734,-9.5918045,-51.721054,6.058971,9.331610202789307,11.717314205243387
Mid-Low,-25.502792,-3.8146973e-06,-58.774174,15.525643,10.750398635864258,13.957400598740326
Mid-Mid,-39.98765,-15.293734,-80.0,2.173965,12.532607316970825,19.82637899032489
Mid-High,-46.178318,-14.205296,-80.0,1.5745925,16.422733068466187,18.748419327867982
High-Low,-47.525887,-19.732944,-80.0,0.7495691,17.34221577644348,20.39002770136277
High-Mid,-58.84648,-30.07998,-80.0,0.1928691,18.786158561706543,20.775721882271462
High-High,-71.33556,-40.442814,-80.0,0.04392586,21.274173259735107,19.85964933103663
Overall Song,-70.92149,-3.8146973e-06,-80.0,1.4166011,31.54644012451172,12.853446006774902
