Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-22.423218,-10.878111,-58.54599,4.352639,7.3851752281188965,9.907334544960687
Low-Mid,-12.330799,-0.23114014,-61.475357,15.479289,7.012178897857666,14.620359402738236
Low-High,-19.452614,0.0,-58.283882,11.530484,9.801389575004578,17.185535891289877
Mid-Low,-38.166615,-3.7131062,-80.0,3.2251232,17.154308557510376,19.390223680972817
Mid-Mid,-51.44195,-24.69697,-80.0,0.26920405,17.73973822593689,17.527064530382685
Mid-High,-68.151115,-33.05199,-80.0,0.07022478,21.05654239654541,20.589480579699174
High-Low,-71.338844,-24.387098,-80.0,0.12804843,24.503755569458008,19.058454318173204
High-Mid,-71.05024,-40.949303,-80.0,0.03794209,18.50661277770996,22.222439060242287
High-High,-75.26301,-49.892967,-80.0,0.01257004,19.15863871574402,20.940956887971744
Overall Song,-75.05836,0.0,-80.0,0.76553404,33.35905075073242,10.52259087562561
