Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-17.68331,-8.265364,-28.451628,10.286577,6.97323203086853,9.354499517235219
Low-Mid,-17.725386,-9.423084,-34.480614,10.105019,5.970187783241272,9.083875460903156
Low-High,-20.029919,-12.722355,-57.180347,7.4514785,5.316808819770813,10.569723556044764
Mid-Low,-15.949519,-2.1129494,-44.290966,16.369871,9.090158939361572,13.770833735938897
Mid-Mid,-20.532845,0.0,-46.687233,12.940487,13.245000839233398,16.560162362243332
Mid-High,-28.052505,-4.289257,-65.52338,6.5851793,14.823405742645264,17.093472678842357
High-Low,-37.857826,-10.531889,-80.0,2.3059568,17.6951003074646,23.752350625692355
High-Mid,-51.193985,-21.533936,-80.0,0.5668056,18.881393671035767,23.586867571275526
High-High,-68.729416,-39.712456,-80.0,0.063645005,19.696269035339355,28.11270917369498
Overall Song,-67.65868,0.0,-80.0,2.3475587,28.07168483734131,11.865389347076416
