Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-17.994873,-4.875843,-31.079983,0.6086509,8.446593284606934,11.71585022282477
Low-Mid,-16.971777,-5.432618,-27.17022,0.5912364,8.141961097717285,12.529676619213486
Low-High,-23.072475,-10.080427,-40.928967,0.3564443,7.889543175697327,12.96422354496231
Mid-Low,-28.78572,-9.129017,-63.545025,0.23049858,12.627420425415039,12.793800660049852
Mid-Mid,-27.620234,0.0,-65.68827,0.5231418,14.637415409088135,16.701550167072213
Mid-High,-41.180782,-8.714,-70.296936,0.097651936,20.502185821533203,14.667370591826021
High-Low,-44.497997,-9.934723,-80.0,0.06765513,22.469065189361572,21.039977941616698
High-Mid,-46.18337,-21.44067,-80.0,0.031929307,17.485342025756836,33.42018559947084
High-High,-51.827602,-22.888218,-80.0,0.021451462,19.492446184158325,34.93376271461264
Overall Song,-54.80086,0.0,-80.0,0.07534784,31.46838665008545,23.36512565612793
