Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-21.88315,0.0,-46.3924,0.078700386,10.001510381698608,11.261963234924492
Low-Mid,-16.269413,-1.0235138,-28.052734,0.09415671,7.420507073402405,12.267751331738886
Low-High,-21.69541,-2.4972334,-35.25847,0.046832483,12.01287031173706,15.041318736104161
Mid-Low,-36.854088,-12.791464,-64.07237,0.010507918,14.69924807548523,15.644429432341928
Mid-Mid,-42.146183,-23.82671,-66.97632,0.0037500854,12.613513469696045,18.051774198786774
Mid-High,-45.805035,-20.545364,-69.52544,0.0030484835,17.694004774093628,18.466080175994875
High-Low,-46.675137,-23.496223,-80.0,0.0025808127,16.18969440460205,18.106156468912985
High-Mid,-47.65525,-26.694374,-80.0,0.0018215263,16.017963886260986,15.861905721194027
High-High,-48.54713,-29.641468,-80.0,0.0013461736,15.697559118270874,11.868873871785585
Overall Song,-48.39799,0.0,-80.0,0.0050952374,33.777759075164795,13.529119491577148
