Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-18.128767,-1.2722435,-39.33888,24.860641,9.59078848361969,11.770183665168224
Low-Mid,-17.185003,-4.13575,-39.007366,20.897211,8.235760927200317,12.535645081269875
Low-High,-21.45492,-3.7652817,-44.690403,16.560995,10.626267194747925,13.903541363506413
Mid-Low,-23.28431,0.0,-56.526684,19.23918,13.089545965194702,14.130680506295379
Mid-Mid,-30.923744,-1.2083473,-64.65585,15.929751,13.520748615264893,13.72939521598753
Mid-High,-39.241222,-1.3710518,-78.529335,8.711502,18.60036611557007,15.934788483332918
High-Low,-38.276955,-6.641285,-80.0,5.0734344,18.02595019340515,19.48409145853244
High-Mid,-48.276615,-14.71892,-80.0,1.5616883,20.18247127532959,22.139808671506216
High-High,-60.251263,-30.394974,-80.0,0.3162458,18.377807140350342,30.994425674652927
Overall Song,-63.5241,0.0,-80.0,3.3549132,28.25965166091919,11.082913875579834
