Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-29.692247,-9.585407,-66.70654,4.2999578,13.161380290985107,18.099217588478076
Low-Mid,-29.204016,-7.4387627,-58.836185,4.71663,14.504674673080444,15.37822399111689
Low-High,-29.229248,-5.4111443,-64.317444,6.888766,13.242099285125732,14.623498172244178
Mid-Low,-34.56019,0.0,-80.0,9.523845,15.839828252792358,18.873831375044738
Mid-Mid,-40.00156,-2.7825356,-80.0,6.4753013,16.40833854675293,18.734140142187282
Mid-High,-46.732445,-0.45956802,-80.0,4.93107,21.097679138183594,23.592690908625773
High-Low,-53.42344,-8.542982,-80.0,1.3788687,24.082629680633545,27.57921072288041
High-Mid,-59.749702,-19.026184,-80.0,0.40856835,24.16459560394287,30.125748657402966
High-High,-68.97748,-19.903805,-80.0,0.17902423,30.45403242111206,31.21502111298943
Overall Song,-70.50716,0.0,-80.0,1.3991237,32.49895095825195,17.415295839309692
