Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-45.819298,-8.505695,-80.0,3.5094123,21.046669483184814,22.394115468845342
Low-Mid,-42.299217,-8.038906,-80.0,4.738854,18.90468120574951,24.638629024520956
Low-High,-43.106205,-5.06234,-80.0,5.4596806,20.65136432647705,21.21071014663441
Mid-Low,-45.008022,-2.4387512,-80.0,9.313083,18.636430501937866,20.758305196653488
Mid-Mid,-47.810505,-0.21521378,-80.0,8.66315,21.488323211669922,21.461100438500477
Mid-High,-53.730434,3.8146973e-06,-80.0,5.883859,25.06380796432495,25.9811229977047
High-Low,-57.27857,-4.015072,-80.0,2.1507678,29.79010581970215,28.048320447277778
High-Mid,-59.17098,-12.22205,-80.0,1.0346437,27.939186096191406,29.48220066468562
High-High,-66.59077,-15.913868,-80.0,0.59939027,28.988988399505615,30.169966354696154
Overall Song,-70.084465,3.8146973e-06,-80.0,1.6969658,35.863590240478516,16.681865453720093
