Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-43.801277,-10.162446,-67.477264,0.057770826,14.34096097946167,20.188300629519308
Low-Mid,-33.93847,-6.4771314,-44.686787,0.06890315,16.49566650390625,22.176494821881004
Low-High,-35.87151,-10.381404,-47.24331,0.03972697,17.374465465545654,24.566008979278777
Mid-Low,-49.67591,-1.1920929e-07,-77.6224,0.06452594,23.542892932891846,23.078375747733418
Mid-Mid,-53.238007,-2.0069833,-80.0,0.062256485,21.846904754638672,24.59455554122501
Mid-High,-57.217197,-1.3306246,-80.0,0.05029091,24.377164840698242,29.468911037337435
High-Low,-58.985607,-8.813485,-80.0,0.0137010375,28.189024925231934,24.40569923728441
High-Mid,-58.991665,-7.5892596,-80.0,0.016775977,27.654564380645752,26.688016977601322
High-High,-60.076405,-11.237666,-80.0,0.0074479226,31.059207916259766,21.909435549458557
Overall Song,-59.93755,-1.1920929e-07,-80.0,0.014324846,36.615779399871826,24.25340175628662
