Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-30.728624,-15.350298,-48.81934,3.9341679,10.112026929855347,15.822979963198788
Low-Mid,-29.31278,-12.815298,-48.65023,5.161694,10.288238525390625,18.686643928316062
Low-High,-28.576311,-7.749815,-65.76287,6.2602034,13.677799701690674,14.876016747877545
Mid-Low,-26.186237,-5.516815,-61.59016,9.53828,12.253167629241943,14.721019870125234
Mid-Mid,-28.511831,0.0,-65.85068,11.370142,16.24406337738037,15.964372647306497
Mid-High,-35.445255,-0.0151901245,-72.58467,8.351735,18.908658027648926,17.673510822178063
High-Low,-43.08131,-5.1729546,-80.0,2.413281,24.534268379211426,24.0161229462486
High-Mid,-48.97276,-16.846115,-80.0,0.8264002,22.169458866119385,25.44467463374631
High-High,-59.378296,-20.902529,-80.0,0.3883855,24.671592712402344,26.484671479040877
Overall Song,-64.84984,0.0,-80.0,2.0846019,30.978918075561523,14.323419332504272
