Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-33.088017,-9.279899,-61.87347,0.5149062,11.876808404922485,15.34517914396969
Low-Mid,-31.901022,-9.856661,-55.05605,0.534816,10.970520973205566,14.835545200491328
Low-High,-35.665127,-12.901905,-60.835804,0.3571443,11.432490348815918,13.705522538932964
Mid-Low,-43.51565,-13.861943,-80.0,0.21115446,15.037320852279663,16.490487096764998
Mid-Mid,-44.265457,-3.8936882,-80.0,0.57130414,16.360232830047607,20.786788542730356
Mid-High,-47.842663,-9.536743e-07,-80.0,0.58729124,20.014197826385498,19.684968748331848
High-Low,-58.204617,-5.040126,-80.0,0.1788691,25.300438404083252,19.772421518050706
High-Mid,-61.78626,-27.883217,-80.0,0.02407648,19.876192808151245,20.86573872370595
High-High,-63.76765,-23.599997,-80.0,0.033692956,21.24048948287964,23.98548439798459
Overall Song,-67.10744,-9.536743e-07,-80.0,0.12414577,33.512630462646484,19.924269914627075
