Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-27.907728,-4.5149574,-80.0,92.78952,9.350628852844238,11.50279673759693
Low-Mid,-23.82868,0.0,-80.0,170.26183,8.59321415424347,16.904371075193062
Low-High,-30.898758,-1.3853683,-80.0,82.3672,13.515106439590454,18.440257969024596
Mid-Low,-31.787529,-3.8751907,-80.0,43.721115,16.52654528617859,20.915140626395416
Mid-Mid,-37.788998,-9.12067,-80.0,18.815338,18.604649305343628,23.441033577779706
Mid-High,-43.75335,-6.5545692,-80.0,11.663485,25.324420928955078,23.896090678771348
High-Low,-47.316395,-6.3799706,-80.0,7.1717095,29.72313404083252,24.997312156371084
High-Mid,-49.70637,-14.770962,-80.0,3.9344134,26.547000408172607,23.08637773622664
High-High,-55.19635,-23.350832,-80.0,2.4755576,21.991267204284668,23.626033757905198
Overall Song,-62.17391,0.0,-80.0,8.800281,34.32563066482544,9.662906527519226
