#,Key,Artwork,File Type,BPM,Comments,DJ Play Count,Track Title,Artist,Genre,Album,Rating,Release Date,Year,Label,Remixer,Mix Name,Time,Date Added,Size,File Name,Bitrate,Location,Bitdepth
50,9A,,MP3,92.25,OOOLD_SRC_YODJ,0,Chabuca Granda - Cardó O Ceniza (DDD Remix),Dengue Dengue Dengue,nan,nan,,nan,0,nan,,,04:17,2025-03-16,4 MB,Chabuca Granda - Cardó O Ceniza (DDD Remix).mp3.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_12_07-25/Chabuca Granda - Cardó O Ceniza (DDD Remix).mp3.mp3,16
51,4A,,MP3,116.0,OOOLD_SRC_YODJ,0,MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix),MoBlack,nan,nan,,nan,0,nan,,,02:00,2025-03-16,1.9 MB,MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_66_07-25/MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix).mp3,16
52,7B,,AIFF,120.0,OOOLD_SRC_YODJ,3,Sunset in Maputo,"Viktor Martini, Frank Master",Afro House,Maputo EP,***,nan,2021,nan,,,07:30,2023-04-14,114 MB,"Viktor Martini, Frank Master - Sunset in Ma_2_0.aiff",2116 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_29_07-25/Viktor Martini, Frank Master - Sunset in Ma_2_0.aiff",24
53,7A,,AIFF,107.0,OOOLD_SRC_YODJ,13,Yo go share,Shamrock,nan,African Music By African People,,nan,0,nan,,,06:01,2023-04-14,61 MB,Shamrock - African Music By African Peopl-2_2_0.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_53_07-25/Shamrock - African Music By African Peopl-2_2_0.aiff,16
54,4A,,AIFF,124.0,OOOLD_SRC_YODJ,1,"Take Off, Baby! feat. Orlando (Original Mix)",Ronald Christoph,Tech House,"Take Off, Baby!",****,2012-01-01,2012,Evamore Music,,,06:42,2023-04-14,67.9 MB,"Ronald Christoph - Take Off, Baby! feat. Or_2_0.aiff",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_15_07-25/Ronald Christoph - Take Off, Baby! feat. Or_2_0.aiff",16
55,2A,,AIFF,118.0,OOOLD_SRC_YODJ,13,Baiana (Cosme Martin & Christian Vila Remix),Barbatuques,Tech House,Baiana (Cosme Martin & Christian Vila Remix),,2016-03-04,2016,CLPR,,,07:47,2024-04-04,78.8 MB,iii_118_8BpM_11A_lufs_-6_9_iii_Baiana-BY-Barba___Barbatuques_2016_ggg_Tech eee.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_41_07-25/iii_118_8BpM_11A_lufs_-6_9_iii_Baiana-BY-Barba___Barbatuques_2016_ggg_Tech eee.aiff,16
56,9A,,MP3,118.0,OOOLD_SRC_YODJ,1,Yamil & G.Zamora - Cosa Buena (Original Mix) [connected] [MI4L.com],Music is 4 Lovers,nan,nan,*****,nan,0,nan,,,06:16,2025-03-16,5.8 MB,Yamil & G.Zamora - Cosa Buena (Original Mix) [connected] [MI4L.com].mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_1_07-25/Yamil & G.Zamora - Cosa Buena (Original Mix) [connected] [MI4L.com].mp3,16
57,8A,,MP3,108.0,OOOLD_SRC_YODJ,0,tribu tulum _Purnamadah,"RoMadrid(Tribu Tulum, MusicDesigners, the seeKers)",nan,nan,,nan,0,nan,,,06:06,2025-03-16,5.7 MB,tribu tulum _Purnamadah.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_15_07-25/tribu tulum _Purnamadah.mp3,16
58,12A,,MP3,120.0,OOOLD_SRC_YODJ,0,Tube & Berger & Paji - Kleines Traumparadies (Wild Culture Pure Wilderness Remix) [Kittball],TUBE & BERGER,nan,nan,,nan,0,nan,,,08:31,2025-03-16,7.8 MB,Tube & Berger & Paji - Kleines Traumparadies (Wild Culture Pure Wilderness Remix) [Kittball].mp3.mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_17_07-25/Tube & Berger & Paji - Kleines Traumparadies (Wild Culture Pure Wilderness Remix) [Kittball].mp3.mp3,16
59,12A,,MP3,122.0,OOOLD_SRC_YODJ,0,Premiere: Just Her Feat. Kieran Fowkes - Let Myself Go [Constant Circles],Soundspace,nan,nan,,nan,0,nan,,,07:34,2025-03-16,7 MB,Premiere_ Just Her Feat. Kieran Fowkes - Let Myself Go [Constant Circles].mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_16_07-25/Premiere_ Just Her Feat. Kieran Fowkes - Let Myself Go [Constant Circles].mp3,16
60,5A,,MP3,100.0,OOOLD_SRC_YODJ,0,Yapla! - Cegre (SidiRum Deep Mix),Sounds and Colours,nan,nan,,nan,0,nan,,,04:55,2025-03-16,11.3 MB,Yapla! - Cegre (SidiRum Deep Mix).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Yapla! - Cegre (SidiRum Deep Mix).mp3,16
61,3A,,MP3,170.0,OOOLD_SRC_YODJ,0,Nicola Cruz & Gorillaz - Cumbia Eastwood (Lascivio Bohemia mashup),Lascivio Bohemia,nan,nan,,nan,0,nan,,,04:36,2025-03-16,4.3 MB,Nicola Cruz & Gorillaz - Cumbia Eastwood (Lascivio Bohemia mashup).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Nicola Cruz & Gorillaz - Cumbia Eastwood (Lascivio Bohemia mashup).mp3,16
62,9A,,MP3,121.0,OOOLD_SRC_YODJ,2,"Danniel Selfmade, Charlie Demir - Libre La Vida (FNX Omar Extended Remix)",Stereo Productions,nan,nan,,nan,0,nan,,,07:40,2025-03-16,7.1 MB,"Danniel Selfmade, Charlie Demir - Libre La Vida (FNX Omar Extended Remix).mp3",128 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/Danniel Selfmade, Charlie Demir - Libre La Vida (FNX Omar Extended Remix).mp3",16
63,8A,,MP3,124.0,OOOLD_SRC_YODJ,0,José González - Stay In The Shade (Pablo Fierro Edit),Pablo Fierro,nan,nan,,nan,0,nan,,,06:53,2025-03-16,15.8 MB,José González - Stay In The Shade (Pablo Fierro Edit).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/José González - Stay In The Shade (Pablo Fierro Edit).mp3,16
64,4A,,MP3,116.0,OOOLD_SRC_YODJ,0,MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix),MoBlack Records,nan,nan,,nan,0,nan,,,02:00,2025-03-16,1.9 MB,MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/MBR426 - Rosalinda De La Espada - Quiribi (Yamil Remix).mp3,16
65,9A,,MP3,120.0,OOOLD_SRC_YODJ,1,Santë (PAAX (Tulum) Full Moon Version),Afroterraneo Music,nan,nan,,nan,0,nan,,,07:05,2025-03-16,6.6 MB,Santë (PAAX (Tulum) Full Moon Version).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/Santë (PAAX (Tulum) Full Moon Version).mp3,16
66,4B,,MP3,120.0,OOOLD_SRC_YODJ,0,Sam Shure - Kasra (Atish Remix) [Snippet],Stil vor Talent,nan,nan,,nan,0,nan,,,03:00,2025-03-16,2.9 MB,Sam Shure - Kasra (Atish Remix) [Snippet].mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Sam Shure - Kasra (Atish Remix) [Snippet].mp3,16
67,7A,,MP3,116.0,OOOLD_SRC_YODJ,0,Bird Noire - Circles (Quatri Remix),Oleeva,nan,nan,,nan,0,nan,,,09:58,2025-03-16,9.2 MB,Bird Noire - Circles (Quatri Remix).mp3,128 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Bird Noire - Circles (Quatri Remix).mp3,16
68,6A,,WAV,119.0,OOOLD_SRC_YODJ,6,8789102_Vayu_(Original Mix),nan,nan,nan,,nan,0,nan,,,07:06,2023-04-16,71.8 MB,8789102_Vayu_(Original Mix).wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_40_07-25/8789102_Vayu_(Original Mix).wav,16
69,4A,,WAV,123.0,OOOLD_SRC_YODJ,3,16517264_Camaleon_(Original Mix),nan,Afro House,nan,,nan,0,nan,,,05:59,2023-05-07,60.4 MB,16517264_Camaleon_(Original Mix).wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_29_07-25/16517264_Camaleon_(Original Mix).wav,16
70,4A,,WAV,121.0,OOOLD_SRC_YODJ,3,"Rain_Queen_Hyenah,_G-Wash10_(Masšh_Remix)_F_Minor_121_Masšh_Afro_House_888_05",nan,nan,nan,,nan,0,nan,,,06:29,2023-05-24,65.5 MB,"Rain_Queen_Hyenah,_G-Wash10_(Masšh_Remix)_F_Minor_121_Masšh_Afro_House_888_05.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_33_07-25/Rain_Queen_Hyenah,_G-Wash10_(Masšh_Remix)_F_Minor_121_Masšh_Afro_House_888_05.wav",16
