#,Key,Artwork,File Type,BPM,Comments,DJ Play Count,Track Title,Artist,Genre,Album,Rating,Release Date,Year,Label,Remixer,Mix Name,Time,Date Added,Size,File Name,Bitrate,Location,Bitdepth
1,6A,,MP3,121.0,OOOLD_SRC_YODJ,1,Eme Lelu (Adam Port Edit),Quim Manuel O Espirito Santo,Afro House,nan,,nan,2019,nan,,,06:53,2023-04-14,15.9 MB,Quim Manuel O Espirito Santo - Eme Lelu (Ada_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Quim Manuel O Espirito Santo - Eme Lelu (Ada_2_0.mp3,16
2,6A,,MP3,124.0,OOOLD_SRC_YODJ,1,Eye Nyam Nam 'A' Mensuro (Henrik Schwarz Dub),"Pat Thomas, Ebo Taylor, Henrik Schwarz",House,Eye Nyam Nam 'A' Mensuro (Henrik Schwarz Mixes),,2015-01-01,2015,Strut,,,07:29,2023-04-14,17.2 MB,"Henrik Schwarz, Ebo Taylor, Pat Thomas - Eye_2_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_11_07-25/Henrik Schwarz, Ebo Taylor, Pat Thomas - Eye_2_0.mp3",16
3,6A,,MP3,120.0,OOOLD_SRC_YODJ,0,Everyday (Shimza Remix),"WhoMadeWho, Rampa",Afro House,Everyday (Shimza Remix),,2022-10-28,2022,Embassy One,,,07:32,2023-04-14,18.9 MB,"WhoMadeWho, Rampa - Everyday (Shimza Remix)_2_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_17_07-25/WhoMadeWho, Rampa - Everyday (Shimza Remix)_2_0.mp3",16
4,1A,,WAV,118.0,OOOLD_SRC_YODJ,0,Forbidden feat. Sio (Original Mix),"Sio, Dwson",nan,nan,,nan,0,nan,,,06:16,2023-09-08,63.4 MB,"Sio, Dwson - Forbidden feat. Sio (Original M_3_0.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_50_07-25/Sio, Dwson - Forbidden feat. Sio (Original M_3_0.wav",16
5,4A,,WAV,120.0,OOOLD_SRC_YODJ,0,Falling into Place (Original Mix),Massh,nan,nan,,nan,0,nan,,,07:37,2023-04-14,77.1 MB,Massh - Falling into Place (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_47_07-25/Massh - Falling into Place (Original Mix)_2_0.wav,16
6,6A,,WAV,121.0,OOOLD_SRC_YODJ,0,Fatoumata_Original_Mix,nan,nan,nan,,nan,0,nan,,,05:20,2023-04-14,53.9 MB,Fatoumata_Original_Mix_3_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_13_07-25/Fatoumata_Original_Mix_3_0.wav,16
7,12A,,MP3,123.0,OOOLD_SRC_YODJ,0,Footprints (Extended Mix),Kaz James,Dance / Electro Pop,Footprints (Extended Mix),,2022-04-29,2022,Another Record Label,,,07:33,2023-04-14,17.7 MB,Kaz James - Footprints (Extended Mix)_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Kaz James - Footprints (Extended Mix)_2_0.mp3,16
8,11A,,MP3,123.0,OOOLD_SRC_YODJ,0,Freya,Anjei,Танцевальная/электронная музыка,Cantec De Leagane / Freya,,nan,2017,nan,,,04:44,2023-04-14,11 MB,Anjei - Freya_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_24_07-25/Anjei - Freya_2_0.mp3,16
9,7A,,WAV,122.0,OOOLD_SRC_YODJ,0,Gates of Thēbai (Original Mix),Shai T,nan,nan,,nan,0,nan,,,06:53,2023-04-14,69.5 MB,Shai T - Gates of Thēbai (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_52_07-25/Shai T - Gates of Thēbai (Original Mix)_2_0.wav,16
10,4A,,MP3,112.0,OOOLD_SRC_YODJ,3,Gerra G - Desencanto (Padouc Remix) myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,08:34,2023-08-15,19.7 MB,Gerra G - Desencanto (Padouc Remix) myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_25_07-25/Gerra G - Desencanto (Padouc Remix) myfreemp3.vip .mp3,16
11,8A,,MP3,121.0,OOOLD_SRC_YODJ,0,"Ntobe, Moshiko's Son (Original Mix)",Eddie ZAR,Afro House,"Ntobe, Moshiko's Son",,2022-07-22,2022,Hexx Room Records,,,06:11,2023-04-14,14.3 MB,"Eddie ZAR - Ntobe, Moshiko_s Son (Original M_3_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_25_07-25/Eddie ZAR - Ntobe, Moshiko_s Son (Original M_3_0.mp3",16
12,5A,,AIFF,105.99,OOOLD_SRC_YODJ,1,Sufi (Original Mix),AIWAA,Organic House / Downtempo,Sufi,,2022-03-22,2022,Cosmic Awakenings,,,06:02,2024-11-15,63.5 MB,Sufi-BY-AIWAA_(Original_Mix)_KEY_C_Major_BPM_131_Organic_House___Downtempo__LBL_Cosmic_Awakenings-RY_2022_03-DWN_2024_11.aiff,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_57_07-25/Sufi-BY-AIWAA_(Original_Mix)_KEY_C_Major_BPM_131_Organic_House___Downtempo__LBL_Cosmic_Awakenings-RY_2022_03-DWN_2024_11.aiff,16
13,5A,,MP3,120.0,OOOLD_SRC_YODJ,1,Guatape [www.slider.kz],Calussa,nan,nan,,nan,0,nan,,,03:50,2023-04-14,8.8 MB,Calussa - Guatape [www.slider.kz]_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_1_07-25/Calussa - Guatape [www.slider.kz]_2_0.mp3,16
14,6A,,WAV,120.0,OOOLD_SRC_YODJ,1,Golden feat. Kid Fonque feat. D-Malice (Original Mix),"D-Malice, Kid Fonque, Sio",nan,nan,,nan,0,nan,,,05:53,2023-04-14,59.6 MB,"D-Malice, Kid Fonque, Sio - Golden feat. Kid_2_0.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/D-Malice, Kid Fonque, Sio - Golden feat. Kid_2_0.wav",16
15,6A,,MP3,114.0,OOOLD_SRC_YODJ,5,Chopstick & Johnjon - Doin It (Original Mix),www.need-music.com,nan,nan,,nan,0,nan,,,06:44,2023-04-14,15.4 MB,Chopstick & Johnjon - Doin It (Original Mi-1_2_0.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_28_07-25/Chopstick & Johnjon - Doin It (Original Mi-1_2_0.mp3,16
16,2A,,MP3,120.0,OOOLD_SRC_YODJ,2,Congo Libre,The Pilotwings,nan,MOLITOR 71,,nan,2015,nan,,,04:45,2023-08-19,11 MB,03 Congo Libre-MB-11024420738220215-fr-lodazz.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_18_07-25/03 Congo Libre-MB-11024420738220215-fr-lodazz.mp3,16
17,8A,,WAV,118.0,OOOLD_SRC_YODJ,1,Closure,RONA.,nan,nan,,nan,0,nan,,,04:30,2023-04-14,45.5 MB,RONA. - Closure EP - 01 Closure_3_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/RONA. - Closure EP - 01 Closure_3_0.wav,16
18,5A,,WAV,120.0,OOOLD_SRC_YODJ,3,Bailando De Too (Original Mix),"Peppe Citarella, Manybeat, Mijangos",Afro House,Bailando De Too,,nan,2020,nan,,,05:33,2024-06-08,56.5 MB,i3ii_120_6 k 8A_lufs-8_7_ii_Bailando_De_Too__Peppe Citarella Manybeat Mijangos_2020-04-03_ggg_Afro eee_LBL_UNION RECORDS IT.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_57_07-25/i3ii_120_6 k 8A_lufs-8_7_ii_Bailando_De_Too__Peppe Citarella Manybeat Mijangos_2020-04-03_ggg_Afro eee_LBL_UNION RECORDS IT.wav,16
19,6A,,MP3,123.0,OOOLD_SRC_YODJ,0,Beaga feat. NT Martin (Original Mix),"NT Martin, Tenova",Tech House,"Elrow Vol. 3 (Mixed By Claptone, Tini Gessler & Eddy M) - Beatport Exclusive Edition",,2018-01-01,2018,Cr2 Records,,,06:04,2023-08-15,14.4 MB,10899059_Beaga feat. NT Martin_(Original Mix).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/10899059_Beaga feat. NT Martin_(Original Mix).mp3,16
20,4A,,WAV,120.0,OOOLD_SRC_YODJ,2,Ceremony (Original Mix),Monkey Safari,nan,nan,,nan,0,nan,,,07:00,2023-04-14,70.7 MB,Monkey Safari - Ceremony (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_50_07-25/Monkey Safari - Ceremony (Original Mix)_2_0.wav,16
21,7A,,MP3,88.01,OOOLD_SRC_YODJ,2,"Chan Chan (feat. Maikel Ante, Félix Baloy, Solis & Eugenio Rodríguez El Raspa)",Mista Savona,nan,Havana Meets Kingston,,nan,2017,nan,,,04:51,2023-04-14,11.3 MB,"Mista Savona - Chan Chan (feat. Maikel Ante,_2_0.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Mista Savona - Chan Chan (feat. Maikel Ante,_2_0.mp3",16
22,1A,,WAV,120.0,OOOLD_SRC_YODJ,5,Baião Destemperado (feat. Dawn Patrol & Barbatuques) (Original Mix),"Maz (BR), Antdot, Riascode",Afro House,Baião Destemperado (feat. Dawn Patrol & Barbatuques),,nan,2023,nan,,,05:48,2024-06-08,59.7 MB,"h1ii_120_8 k 1A_lufs-8_8_ii_Baião_Destemper__Maz (BR), Antdot, Riascode_2023_ggg_Afro eee_LBL_Dawn Patrol Records.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_16_07-25/h1ii_120_8 k 1A_lufs-8_8_ii_Baião_Destemper__Maz (BR), Antdot, Riascode_2023_ggg_Afro eee_LBL_Dawn Patrol Records.wav",16
23,9A,,MP3,97.13,OOOLD_SRC_YODJ,2,Camel (Nosaj Thing Remix),Flying Lotus,Electro,L.A. EP 2 X 3,,nan,2008,nan,,,02:54,2023-04-14,6.8 MB,fr_pieg-14_03_2023-Nosaj Thing - Flying lotus-camel (nosaj thing remix).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_16_07-25/fr_pieg-14_03_2023-Nosaj Thing - Flying lotus-camel (nosaj thing remix).mp3,16
24,7A,,WAV,116.0,OOOLD_SRC_YODJ,1,Blind the Sun (Original Mix),Derun,nan,nan,,nan,0,nan,,,07:29,2023-04-14,75.8 MB,Derun - Blind the Sun (Original Mix)_2_0.wav,1411 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_27_07-25/Derun - Blind the Sun (Original Mix)_2_0.wav,16
25,9A,,WAV,120.0,OOOLD_SRC_YODJ,0,Belma Belma (Cuebur & Vanco Remix),"Boddhi Satva, Maalem Hammam",nan,nan,,nan,0,nan,,,07:32,2023-04-14,76.1 MB,"Boddhi Satva, Maalem Hammam - Belma Belma (C_3_0.wav",1411 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_10_07-25/Boddhi Satva, Maalem Hammam - Belma Belma (C_3_0.wav",16
26,1A,,MP3,123.0,OOOLD_SRC_YODJ,0,BREAK MY SOUL (Terry Hunter Remix - Official Visualizer),"Beyoncé, Terry Hunter",nan,YTmp3.net,,nan,0,nan,,,05:31,2023-09-08,12.7 MB,"Beyoncé, Terry-fr-an-001T.mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_10_07-25/Beyoncé, Terry-fr-an-001T.mp3",16
27,11A,,MP3,125.0,OOOLD_SRC_YODJ,0,Boom (Original Mix),Adison,Tech House,"Elrow Vol. 3 (Mixed By Claptone, Tini Gessler & Eddy M) - Beatport Exclusive Edition",,2018-01-01,2018,Cr2 Records,,,06:10,2023-08-15,14.7 MB,10899062_Boom_(Original Mix).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_17_07-25/10899062_Boom_(Original Mix).mp3,16
28,11A,,MP3,116.0,OOOLD_SRC_YODJ,2,Bedouin - Straight to the Heart myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,07:17,2023-09-08,16.7 MB,Bedouin - Straight to the Heart myfreemp3.vip.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_11_07-25/Bedouin - Straight to the Heart myfreemp3.vip.mp3,16
29,8A,,MP3,118.0,OOOLD_SRC_YODJ,0,Blond_ish & Nico De Andrea ft. Darla Jade - Hold Tight (Extended Mix) myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,04:42,2023-08-15,10.8 MB,Blond_ish & Nico De Andrea ft. Darla Jade - Hold Tight (Extended Mix) myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_2_07-25/Blond_ish & Nico De Andrea ft. Darla Jade - Hold Tight (Extended Mix) myfreemp3.vip .mp3,16
30,6A,,MP3,123.0,OOOLD_SRC_YODJ,1,Blond_Ish & Cameron Jack - Aye Aye (Extended Mix) myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,06:32,2023-08-15,15 MB,Blond_Ish & Cameron Jack - Aye Aye (Extended Mix) myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_14_07-25/Blond_Ish & Cameron Jack - Aye Aye (Extended Mix) myfreemp3.vip .mp3,16
31,10A,,MP3,98.0,OOOLD_SRC_YODJ,1,"Casimir, Yatao - Yatao - Shadows of the Great Tree (Casimir's Cacao Remix) myfreemp3.vip",nan,nan,nan,,nan,0,nan,,,08:31,2023-08-15,19.5 MB,"Casimir, Yatao - Yatao - Shadows of the Great Tree (Casimir's Cacao Remix) myfreemp3.vip .mp3",320 kbps,"/Users/yerik/Music/_0_OLD_SOURCE/__tiny_2_07-25/Casimir, Yatao - Yatao - Shadows of the Great Tree (Casimir's Cacao Remix) myfreemp3.vip .mp3",16
32,9A,,MP3,130.03,OOOLD_SRC_YODJ,1,Bonobo feat. Andreya Triana - Eyesdown myfreemp3,nan,nan,nan,,nan,0,nan,,,05:26,2023-08-15,12.5 MB,Bonobo feat. Andreya Triana - Eyesdown myfreemp3.mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_29_07-25/Bonobo feat. Andreya Triana - Eyesdown myfreemp3.mp3,16
33,5A,,MP3,123.01,OOOLD_SRC_YODJ,2,Black Coffee - Extra Time On You myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,07:23,2023-08-15,16.9 MB,Black Coffee - Extra Time On You myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_31_07-25/Black Coffee - Extra Time On You myfreemp3.vip .mp3,16
34,8A,,MP3,122.75,OOOLD_SRC_YODJ,0,Big Moses - Inner Spirit myfreemp3.vip,nan,nan,nan,,nan,0,nan,,,08:58,2023-08-15,20.6 MB,Big Moses - Inner Spirit myfreemp3.vip .mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_23_07-25/Big Moses - Inner Spirit myfreemp3.vip .mp3,16
35,2A,,MP3,121.0,OOOLD_SRC_YODJ,0,Bonobo - Rosewood myfreemp3.vip  (1),nan,nan,nan,,nan,0,nan,,,04:02,2023-08-15,9.3 MB,Bonobo - Rosewood myfreemp3.vip  (1).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_23_07-25/Bonobo - Rosewood myfreemp3.vip  (1).mp3,16
36,10B,,MP3,126.32,OOOLD_SRC_YODJ,0,Bonobo feat. Innov Gnawa - Bambro Koyo Ganda myfreemp3 (1),nan,nan,nan,,nan,0,nan,,,05:45,2023-08-15,13.2 MB,Bonobo feat. Innov Gnawa - Bambro Koyo Ganda myfreemp3 (1).mp3,320 kbps,/Users/yerik/Music/_0_OLD_SOURCE/__tiny_23_07-25/Bonobo feat. Innov Gnawa - Bambro Koyo Ganda myfreemp3 (1).mp3,16
