Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-35.927315,-26.067019,-62.989433,3.2129974,9.646205306053162,32.46458142965123
Low-Mid,-66.70865,-21.64195,-80.0,0.5462124,29.462251663208008,31.53939345356662
Low-High,-68.24605,-22.34378,-80.0,0.5151476,29.269018173217773,27.77378891722179
Mid-Low,-66.62662,-13.976671,-80.0,1.7620959,26.954171657562256,24.217380298691374
Mid-Mid,-62.816795,-2.9045868,-80.0,6.609018,26.544106006622314,21.124913352082373
Mid-High,-64.12645,3.8146973e-06,-80.0,9.177,26.597418785095215,23.775862938340445
High-Low,-66.86578,-4.9031754,-80.0,4.1626883,28.560781478881836,25.160010880644936
High-Mid,-71.436356,-10.589245,-80.0,1.7177688,30.562894344329834,30.766890086491053
High-High,-74.81576,-17.178165,-80.0,0.462909,35.363357067108154,35.04175932397666
Overall Song,-75.39247,3.8146973e-06,-80.0,2.012732,39.77571487426758,22.448172569274902
