Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-47.886368,-19.8726,-80.0,1.8056415,21.707282066345215,26.16422886152042
Low-Mid,-51.616688,-21.114422,-80.0,1.3705429,22.860238552093506,26.208799770917093
Low-High,-51.05539,-14.765984,-80.0,1.7955037,26.862802505493164,19.24666095195219
Mid-Low,-37.21315,-0.59531784,-80.0,26.66742,17.59757399559021,16.46472698321712
Mid-Mid,-35.990627,0.0,-80.0,21.209309,20.18198251724243,20.50334010660857
Mid-High,-46.322655,-4.035778,-80.0,7.3205237,25.385892391204834,22.900189936833666
High-Low,-49.938774,-6.151203,-80.0,3.7402825,29.103219509124756,25.6083017363612
High-Mid,-59.403175,-14.958153,-80.0,1.0683124,31.1803936958313,30.268631938618586
High-High,-59.87688,-7.306038,-80.0,1.8632349,34.001121520996094,27.445396139554283
Overall Song,-65.17012,0.0,-80.0,3.6649203,35.431222915649414,17.423958778381348
