Band,Mean dB,Max dB,Min dB,RMS,Frequency-Domain_DR,Time-Domain_DR
Low-Low,-29.936928,-21.810434,-56.6503,8.427304,7.749969959259033,29.13493729623564
Low-Mid,-73.45945,-36.944176,-80.0,0.17863387,26.0907244682312,34.14411232696133
Low-High,-75.588745,-39.267776,-80.0,0.11768371,27.392072677612305,33.71184996135564
Mid-Low,-72.7344,-18.26348,-80.0,0.61203027,34.0752387046814,27.275738515835148
Mid-Mid,-69.97395,-13.846603,-80.0,1.0787628,33.56905698776245,22.096297266790742
Mid-High,-61.125904,3.8146973e-06,-80.0,8.660699,29.3231201171875,21.967428221859933
High-Low,-61.106342,-5.6543846,-80.0,5.101085,28.266539573669434,31.610914045870505
High-Mid,-72.77125,-4.6038933,-80.0,1.0397013,43.13210964202881,36.97388360408546
High-High,-79.06727,-26.72676,-80.0,0.09052798,42.211761474609375,40.64788675493445
Overall Song,-76.89616,3.8146973e-06,-80.0,1.9867636,42.11125373840332,21.917905807495117
